country_long,country_code,id,total_population,Gold Medal,Silver Medal,Bronze Medal,Total,continent
Namibia,NAM,516,2604172,0,0,0,0,Africa
Nauru,NRU,520,12780,0,0,0,0,Oceania
Nepal,NPL,524,30896590,0,0,0,0,Asia
"Netherlands, Kingdom of the",NLD,528,17879488,15,7,12,34,Europe
New Caledonia,NCL,540,267940,0,0,0,0,Oceania
New Zealand,NZL,554,5223100,10,7,3,20,Oceania
Nicaragua,NIC,558,7046310,0,0,0,0,North America
Niger,NER,562,27202843,0,0,0,0,Africa
Nigeria,NGA,566,223804632,0,0,0,0,Africa
Niue,NIU,570,0,0,0,0,0,Oceania
Norfolk Island,NFK,574,0,0,0,0,0,Oceania
North Macedonia,MKD,807,1811980,0,0,0,0,Europe
Northern Mariana Islands,MNP,580,49796,0,0,0,0,Oceania
Norway,NOR,578,5519594,4,1,3,8,Europe
Oman,OMN,512,4644384,0,0,0,0,Asia
Pakistan,PAK,586,240485658,1,0,0,1,Asia
Palau,PLW,585,18058,0,0,0,0,Oceania
"Palestine, State of",PSE,275,5165775,0,0,0,0,Asia
Panama,PAN,591,4468087,0,1,0,1,North America
Papua New Guinea,PNG,598,10329931,0,0,0,0,Oceania
Paraguay,PRY,600,6861524,0,0,0,0,South America
Peru,PER,604,34352719,0,0,1,1,South America
Philippines,PHL,608,117337368,2,0,2,4,Asia
Pitcairn,PCN,612,0,0,0,0,0,Oceania
Poland,POL,616,36685849,1,4,5,10,Europe
Portugal,PRT,620,10525347,1,2,1,4,Europe
Puerto Rico,PRI,630,3205691,0,0,2,2,North America
Qatar,QAT,634,2716391,0,0,1,1,Asia
Réunion,REU,638,0,0,0,0,0,Europe
Romania,ROU,642,19056116,3,4,2,9,Europe
Russian Federation,RUS,643,143826130,0,0,0,0,Europe/Asia
Rwanda,RWA,646,14094683,0,0,0,0,Africa
Saint Barthélemy,BLM,652,0,0,0,0,0,Europe
"Saint Helena, Ascension and Tristan da Cunha",SHN,654,0,0,0,0,0,Africa
Saint Kitts and Nevis,KNA,659,47755,0,0,0,0,North America
Saint Lucia,LCA,662,180251,1,1,0,2,North America
Saint Martin (French part),MAF,663,32077,0,0,0,0,North America
Saint Pierre and Miquelon,SPM,666,0,0,0,0,0,North America
Saint Vincent and the Grenadines,VCT,670,103698,0,0,0,0,North America
Samoa,WSM,882,225681,0,0,0,0,Oceania
San Marino,SMR,674,33642,0,0,0,0,Europe
Sao Tome and Principe,STP,678,231856,0,0,0,0,Africa
Saudi Arabia,SAU,682,36947025,0,0,0,0,Asia
Senegal,SEN,686,17763163,0,0,0,0,Africa
Serbia,SRB,688,6618026,3,1,1,5,Europe
Seychelles,SYC,690,119773,0,0,0,0,Africa
Sierra Leone,SLE,694,8791092,0,0,0,0,Africa
Singapore,SGP,702,5917648,0,0,1,1,Asia
Sint Maarten (Dutch part),SXM,534,41163,0,0,0,0,North America
Slovakia,SVK,703,5426740,0,0,1,1,Europe
Slovenia,SVN,705,2120937,2,1,0,3,Europe
Solomon Islands,SLB,90,740424,0,0,0,0,Oceania
Somalia,SOM,706,18143378,0,0,0,0,Africa
Somaliland,SOL,-99,5096159,0,0,0,0,Africa
South Africa,ZAF,710,60414495,1,3,2,6,Africa
South Georgia and the South Sandwich Islands,SGS,239,0,0,0,0,0,Antarctica
South Sudan,SSD,728,11088796,0,0,0,0,Africa
Spain,ESP,724,48373336,5,4,9,18,Europe
Sri Lanka,LKA,144,22037000,0,0,0,0,Asia
Sudan,SDN,729,48109006,0,0,0,0,Africa
Suriname,SUR,740,623236,0,0,0,0,South America
Svalbard and Jan Mayen,SJM,744,0,0,0,0,0,Europe
Sweden,SWE,752,10536632,4,4,3,11,Europe
Switzerland,CHE,756,8849852,1,2,5,8,Europe
Syrian Arab Republic,SYR,760,23227014,0,0,0,0,Asia
"Taiwan",TWN,158,23347374,2,0,5,7,Asia
Tajikistan,TJK,762,10143543,0,0,3,3,Asia
"Tanzania, United Republic of",TZA,834,67438106,0,0,0,0,Africa
Thailand,THA,764,71801279,1,3,2,6,Asia
Timor-Leste,TLS,626,1360596,0,0,0,0,Asia
Togo,TGO,768,9053799,0,0,0,0,Africa
Tokelau,TKL,772,0,0,0,0,0,Oceania
Tonga,TON,776,107773,0,0,0,0,Oceania
Trinidad and Tobago,TTO,780,1534937,0,0,0,0,North America
Tunisia,TUN,788,12458223,1,1,1,3,Africa
Türkiye,TUR,792,85326000,0,3,5,8,Asia
Turkmenistan,TKM,795,6516100,0,0,0,0,Asia
Turks and Caicos Islands,TCA,796,46062,0,0,0,0,North America
Tuvalu,TUV,798,11396,0,0,0,0,Oceania
Uganda,UGA,800,48582334,1,1,0,2,Africa
Ukraine,UKR,804,37000000,3,5,4,12,Europe
United Arab Emirates,ARE,784,9516871,0,0,0,0,Asia
United Kingdom of Great Britain and Northern Ireland,GBR,826,68350000,14,22,29,65,Europe
